contrast_0deg,contrast_45deg,contrast_90deg,contrast_135deg,dissimilarity_0deg,dissimilarity_45deg,dissimilarity_90deg,dissimilarity_135deg,homogeneity_0deg,homogeneity_45deg,homogeneity_90deg,homogeneity_135deg,energy_0deg,energy_45deg,energy_90deg,energy_135deg,correlation_0deg,correlation_45deg,correlation_90deg,correlation_135deg,R_mean,G_mean,B_mean,R_std,G_std,B_std,H_mean,S_mean,V_mean,H_std,S_std,V_std,HuMoment_1,HuMoment_2,HuMoment_3,HuMoment_4,HuMoment_5,HuMoment_6,HuMoment_7,Class
3397.350496477691,3508.532948581096,3369.4572990081083,3491.32085905596,38.32282991672976,38.93906975809207,38.09939541961258,38.85702507591459,0.28790648262752855,0.28612549279004623,0.2866870766322302,0.2866539590812152,0.22609322353695352,0.22431039607873834,0.22476049925370425,0.2242087575609589,0.7005562139820015,0.690684030820622,0.7028750180123498,0.6921982163424875,55.559650031887756,98.10959422831633,83.14259805484694,56.23915454320779,81.05785442593087,72.50371382650195,35.5280612244898,113.53107063137755,98.47385204081633,27.16639108758277,83.9022099035984,80.88575138467688,0.0014077876445154599,2.452061482896223e-07,1.5511462779389552e-11,1.0423412667267754e-11,-1.2715766250716887e-22,-2.916580372830532e-15,3.7380745081130934e-23,Padat
5815.593009291275,6150.709827263551,6108.065042443212,6417.881517826366,60.17468770021722,62.20754489332748,61.89672085204391,63.74658649882947,0.034242631143359036,0.032640186782794206,0.033962454693358735,0.03225711699661359,0.010719679296703779,0.010228243971283841,0.010689850263293709,0.010216396439190705,0.2270755864051343,0.18311632769728506,0.18988990704668213,0.14760264585833818,80.64429209183673,130.3503866390306,112.00290975765306,57.32678604199582,62.40689028311683,61.9492448384059,41.45346380739796,123.68449059311224,130.7071308992347,10.605033890636822,63.863296273066716,62.29755946543373,0.0013809044845895205,2.036105188888388e-09,1.5106625389546883e-11,1.809860134826019e-13,-6.954177706433423e-27,-3.433972972127409e-18,2.9918096670169454e-25,Padat
5772.434937542496,6204.182710289728,5990.731602340874,6129.047034929293,59.114630044868896,61.84894126164455,60.60624199233982,61.326992298262766,0.04541269261002573,0.04188621427745761,0.04285622359177862,0.042041136989834235,0.01602734428194128,0.015345215491967476,0.015385840636511288,0.015367650683980242,0.28545664626172257,0.23046027094538665,0.2570766034635808,0.2397802623982315,62.849828603316325,127.89321588010205,101.39092394770408,55.24558702351985,65.90984855371818,64.0625390472103,43.05267458545919,156.33984375,128.15330038265307,12.564558876833805,68.19166266948363,65.80946995961305,0.001464664548217367,1.6033671569692237e-10,1.3020741800871151e-11,1.6141606896083905e-12,6.810900713642124e-24,2.7522420595232833e-18,-2.893651429851655e-24,Padat
5772.434937542496,6204.182710289728,5990.731602340874,6129.047034929293,59.114630044868896,61.84894126164455,60.60624199233982,61.326992298262766,0.04541269261002573,0.04188621427745761,0.04285622359177862,0.042041136989834235,0.01602734428194128,0.015345215491967476,0.015385840636511288,0.015367650683980242,0.28545664626172257,0.23046027094538665,0.2570766034635808,0.2397802623982315,62.849828603316325,127.89321588010205,101.39092394770408,55.24558702351985,65.90984855371818,64.0625390472103,43.05267458545919,156.33984375,128.15330038265307,12.564558876833805,68.19166266948363,65.80946995961305,0.001464664548217367,1.6033671569692237e-10,1.3020741800871151e-11,1.6141606896083905e-12,6.810900713642124e-24,2.7522420595232833e-18,-2.893651429851655e-24,Padat
5772.434937542496,6204.182710289728,5990.731602340874,6129.047034929293,59.114630044868896,61.84894126164455,60.60624199233982,61.326992298262766,0.04541269261002573,0.04188621427745761,0.04285622359177862,0.042041136989834235,0.01602734428194128,0.015345215491967476,0.015385840636511288,0.015367650683980242,0.28545664626172257,0.23046027094538665,0.2570766034635808,0.2397802623982315,62.849828603316325,127.89321588010205,101.39092394770408,55.24558702351985,65.90984855371818,64.0625390472103,43.05267458545919,156.33984375,128.15330038265307,12.564558876833805,68.19166266948363,65.80946995961305,0.001464664548217367,1.6033671569692237e-10,1.3020741800871151e-11,1.6141606896083905e-12,6.810900713642124e-24,2.7522420595232833e-18,-2.893651429851655e-24,Padat
4846.886711245128,5275.404532566973,5091.543421687303,5283.504896539741,49.66850176171435,52.32053731223865,51.282651345316005,52.44973757767729,0.1832868482589396,0.180757999605443,0.18353057545510496,0.1803323958848821,0.1358853445019982,0.13537234107630045,0.1368708650950572,0.13559701499855736,0.509295185375362,0.46621936607044606,0.4853507674879065,0.46539446309804877,57.55751753826531,102.2221978635204,78.32222576530613,57.93841775541321,75.20955706300839,67.17457283294921,41.83934550382653,126.76494738520408,102.42681760204081,22.336738483562506,82.48323811600939,75.08520474649912,0.0016173104194988342,1.410615267132712e-07,6.395548118867956e-11,3.9557064391680575e-11,1.920332186246053e-21,4.18475721125426e-15,-5.20576671627473e-22,Padat
4830.170783954913,5187.597538660295,5024.342688983857,5133.6501437801235,48.23560618195806,50.3534356210721,49.38404868676293,50.0920991775484,0.2241161366118562,0.22159916750102154,0.22315000054364273,0.2215355731919231,0.17628374798401045,0.17558880939465205,0.17724664364165307,0.17549650321598453,0.5363143540428641,0.5020563962509774,0.5180226842897688,0.507228094708794,55.05430883290816,96.28400031887755,75.04117506377551,58.91592075525735,77.27195234785134,68.93550097770692,39.96611926020408,121.39570711096938,96.51177853954081,24.10066728617355,85.51154364112618,77.16294188136871,0.0016786624344936616,2.478071557372216e-07,1.7442071230724378e-10,7.217909442496692e-11,7.432211494938196e-21,1.6397877369414233e-14,-3.2173643947863046e-21,Padat
4575.761370918324,4931.086368116014,4814.533572231712,4921.366184721749,46.324831838587144,48.4651611735667,47.77792680975963,48.41820668021213,0.24661572120936015,0.2441301350262467,0.24652576343301558,0.2433866415071664,0.19887278065518735,0.19852263509485052,0.19967574522123874,0.19797550512983503,0.5544930132232491,0.5201258791926138,0.5317396259591256,0.5210621163411551,53.101203762755105,92.13926977040816,71.5125956632653,58.20290650850546,76.94689488829498,68.08777741170911,39.04326769770408,116.82148836096938,92.33747209821429,24.572513418313914,86.62849194608843,76.83569005224098,0.0017129834110155393,2.865666512605055e-07,1.5086317333553545e-10,7.934311808142589e-11,8.287862973714672e-21,1.475862593659337e-14,-2.581888088485261e-21,Padat
4510.357623320547,4875.56946650962,4738.945527708873,4900.039654930547,45.40867232545387,47.52389953548748,46.63050528509547,47.69719881759702,0.2552952638645647,0.25328911370656776,0.2560793069610336,0.25224533222489814,0.19945298092852073,0.19864850029217176,0.200872159077479,0.19832898233318844,0.5531813159382564,0.5167864378550261,0.5305168983872801,0.5143428853747277,50.66615513392857,88.33153300382654,68.18233816964286,57.58154273193748,76.33732270196035,67.45252322035506,39.702706473214285,120.6430365114796,88.5670240752551,25.994035030213475,88.65742753795931,76.21966512967244,0.0017925100324808372,3.3650095288527155e-07,1.6842153799045611e-10,8.506708385434007e-11,1.0023262651318047e-20,1.168406044894986e-14,-1.7919732831338654e-21,Padat
4409.322489592143,4734.297351647046,4568.498098176488,4777.476904825263,44.68764013455049,46.530696374354335,45.53905749521717,46.798065515097356,0.260055863741687,0.25816211741842654,0.2594667593787789,0.2573197879668034,0.20397892996598815,0.2031072217341571,0.20459106047929507,0.20292958926899884,0.5559846418936623,0.5231141057432314,0.5399933270154855,0.5187583472441851,49.27592873086735,86.27092633928571,66.84944993622449,56.857845439172216,75.72927157373758,66.9577093117144,39.63940927933673,121.0882493622449,86.51504703443878,26.48381459060744,89.32822216158894,75.61386042296101,0.001829857538291773,3.695100348835745e-07,2.2696208956780603e-10,8.760277343112476e-11,1.2298794304437184e-20,7.318812654710372e-15,-1.1501818663449315e-21,Padat
